,Eigenvector Centrality
Rv0375c,5.104282209194211e-05
Rv0382c,0.00015626072803599778
Rv0386,8.105068577493497e-05
Rv0390,2.1586111597804418e-11
Rv0391,0.0005648034235742435
Rv0392c,9.698205372895058e-07
Rv0400c,0.0002546375805692461
Rv0404,0.0002250216512470597
Rv0407,2.1586111597804418e-11
Rv0408,3.1090068466482786e-06
Rv0409,6.958241716161628e-06
Rv0411c,2.1586111597804418e-11
Rv0413,2.1586111597804418e-11
Rv0414c,1.8618687620002086e-05
Rv0417,0.07037646130967502
Rv0422c,0.0001236374437459783
Rv0423c,0.07037646130967502
Rv0432,1.078588127751196e-09
Rv0436c,3.134526521935568e-05
Rv0437c,3.134526521935568e-05
Rv0438c,2.1586111597804418e-11
Rv0456c,0.0002546375805692461
Rv0458,1.8402176313970234e-05
Rv0462,0.00014917469992974206
Rv0464c,2.1586111597804418e-11
Rv0467,1.6978265229511814e-05
Rv0468,0.0007338849423538218
Rv0470c,0.06387515373203706
Rv0478,5.518473981263884e-05
Rv0482,0.06775591221211436
Rv0486,0.0829688328208843
Rv0489,1.0385276613091593e-05
Rv0499,3.236929966233255e-05
Rv0500,8.710341448493428e-06
Rv0501,0.0780899624041438
Rv0503c,0.08141118872262328
Rv0505c,7.488688915520597e-06
Rv0510,0.08189877379307492
Rv0511,0.08189877379307492
Rv0512,0.08405397133366954
Rv0519c,0.001996061602350599
Rv0522,0.00020374290793429776
Rv0524,0.07971972240962394
Rv0533c,2.0438822810992836e-05
Rv0534c,0.08364304134688517
Rv0535,2.1586111597804418e-11
Rv0536,0.0780899624041438
Rv0542c,0.08355815704711103
Rv0545c,0.00018536208800201977
Rv0548c,0.08364304134688517
Rv0551c,0.0002250216512470597
Rv0553,0.08355815704711103
Rv0555,0.08355815522011134
Rv0562,0.0836144182036941
Rv0564c,2.2245418409567527e-06
Rv0570,0.08392504253361745
Rv0573c,5.909121945787204e-09
Rv0577,4.472642724572705e-06
Rv0618,2.592768052909497e-09
Rv0619,2.592768052909497e-09
Rv0620,1.9576566675132294e-09
Rv0632c,0.0002546375805692461
Rv0634c,4.472642724572705e-06
Rv0642c,0.08141118872262328
Rv0644c,0.08141118872262328
Rv0645c,0.08141118872262328
Rv0646c,2.1586111597804418e-11
Rv0648,2.1586111597804418e-11
Rv0650,3.5171795226754978e-06
Rv0672,0.0002546375805692461
Rv0673,0.0002546375805692461
Rv0675,0.0002546375805692461
Rv0684,1.9341394389833017e-05
Rv0694,5.115993962834579e-06
Rv0727c,2.1586111597804418e-11
Rv0728c,4.936495942015223e-06
Rv0729,2.1586111597804418e-11
Rv0733,3.279258893846273e-07
Rv0751c,3.789591670731744e-05
Rv0752c,0.0002546375805692461
Rv0753c,3.789591670731743e-05
Rv0761c,1.11196357641833e-05
Rv0768,1.8402176313970234e-05
Rv0771,2.1586111597804418e-11
Rv0772,0.002382341877390216
Rv0773c,0.00033206878914250035
Rv0774c,0.001996061602350599
Rv0777,0.0023850829913545607
Rv0780,0.0023850845389125964
Rv0788,0.0023823624153732972
Rv0803,0.0023823624153732972
Rv0805,8.105068577493497e-05
Rv0808,0.0023823423200610835
Rv0809,0.0023823423200610835
Rv0812,7.587628691768631e-05
Rv0815c,2.1586111597804418e-11
Rv0819,0.08296692190206571
Rv0820,0.00018536208800201977
Rv0824c,5.5710674100595405e-05
Rv0843,0.00014917469992974206
Rv0848,0.00022130099334579626
Rv0852,0.0002250216512470597
Rv0853c,2.8523377923247267e-05
Rv0855,2.3971156624295628e-06
Rv0858c,0.00029381170659310775
Rv0859,0.0007338849423538218
Rv0860,0.0007338849423538218
Rv0865,2.1586111597804418e-11
Rv0866,2.1586111597804418e-11
Rv0869c,2.1586111597804418e-11
Rv0873,0.0002546375805692461
Rv0884c,4.936495942015223e-06
Rv0886,1.9443130458107697e-06
Rv0889c,1.0529707305865775e-05
Rv0895,2.1586111597804418e-11
Rv0896,1.0529707305865775e-05
Rv0904c,1.3820650405236769e-05
Rv0905,0.0002546375805692461
Rv0911,4.472642724572705e-06
Rv0924c,9.059935063660811e-06
Rv0928,0.00018536208800201977
Rv0929,0.00018536208800201977
Rv0930,0.00018536208800201977
Rv0932c,0.00018536208800201977
Rv0933,0.00018536208800201977
Rv0934,0.00018536208800201977
Rv0935,0.00018536208800201977
Rv0936,0.00018536208800201977
Rv0946c,8.140332257818367e-05
Rv0948c,1.3845851826140815e-05
Rv0951,5.72244354993245e-06
Rv0952,5.72244354993245e-06
Rv0956,0.0023823639611389516
Rv0957,0.00015859711974345564
